# NSAID zone depth edge out
1755 22 6 0 0
1760 684 5 0 0
1762 684 5 0 0
1765 566 1 0 0
1768 350 6 0 0
1770 350 7 0 0
1771 22 6 0 0
1775 22 6 0 0
1777 22 5 0 0
1780 22 5 0 0
1783 350 5 0 0
1784 1035 0 1 0
1786 684 5 0 0
1788 684 4 0 0
1791 350 4 0 0
1792 350 6 0 0
1812 350 4 0 0
1816 350 2 0 0
1819 684 2 0 0
1821 450 2 0 0
1823 684 2 0 0
1832 597 3 0 0
1833 713 1 0 0
1834 350 5 0 0
1837 22 3 0 0
1838 350 5 0 0
1840 684 4 0 0
1841 350 2 0 0
1845 713 1 0 0
1847 684 3 0 0
1849 566 2 0 0
1856 566 1 0 0
1857 684 4 0 0
1858 22 4 0 0
1860 713 2 0 0
1864 684 3 0 0
1872 350 2 0 0
1873 143 2 0 0
1876 350 2 0 0
1878 1035 0 1 0
1880 1035 0 1 0
1882 1035 0 1 0
1885 1035 0 1 0
1888 1035 0 1 0
1889 1035 0 1 0
1891 1035 0 1 0
1892 1035 0 1 0
1893 22 5 0 0
1894 1035 0 1 0
1895 566 3 0 0
1897 143 3 0 0
1898 1035 0 1 0
1900 597 2 0 0
1905 1035 0 1 0
1908 1035 0 1 0
1909 22 7 0 0
1916 1035 0 1 0
1917 1035 0 1 0
1919 1035 0 1 0
1923 566 4 0 0
1924 22 5 0 0
1929 1035 0 1 0
1935 1035 0 1 0
1938 22 4 0 0
1939 22 5 0 0
1943 22 4 0 0
1944 22 5 0 0
1947 22 5 0 0
1948 1035 0 1 0
1952 1035 0 1 0
1956 1035 0 1 0
1958 1035 0 1 0
1959 1035 0 1 0
1965 1035 0 1 0
1966 1035 0 1 0
1967 22 4 0 0
1970 1035 0 1 0
1971 1035 0 1 0
1976 1035 0 1 0
1979 566 2 0 0
1983 713 5 0 0
1993 22 5 0 0
1994 1035 0 1 0
1996 22 4 0 0
1998 1035 0 1 0
2002 713 5 0 0
2006 1035 0 1 0
2009 1035 0 1 0
2014 1035 0 1 0
2015 566 3 0 0
2016 684 4 0 0
2018 828 3 0 0
2019 566 2 0 0
2021 684 5 0 0
2024 22 5 0 0
2031 1035 0 1 0
2036 1035 0 1 0
2039 1035 0 1 0
2042 350 3 0 0
2043 1035 0 1 0
2044 828 3 0 0
2045 1035 0 1 0
2047 1035 0 1 0
2049 828 4 0 0
2050 350 6 0 0
2051 828 3 0 0
2053 828 3 0 0
2056 22 5 0 0
2074 350 3 0 0
2080 1035 0 1 0
2084 350 2 0 0
2088 22 5 0 0
2091 597 3 0 0
2094 713 2 0 0
2095 684 2 0 0
2096 22 4 0 0
2099 684 5 0 0
2107 1035 0 1 0
2115 573 0 0 0
2118 350 5 0 0
2124 22 4 0 0
2126 350 5 0 0
2127 22 5 0 0
2128 1035 0 1 0
2137 1035 0 1 0
2139 22 4 0 0
2147 597 3 0 0
2157 1035 0 1 0
2161 713 3 0 0
2164 559 1 0 0
2165 22 6 0 0
2170 684 3 0 0
2173 22 4 0 0
2183 828 2 0 0
2187 828 2 0 0
