# NSAID zone depth edge out
2157 1036 0 1 0
2161 716 3 0 0
2164 557 1 0 0
2165 22 6 0 0
2170 687 3 0 0
2173 22 4 0 0
2183 830 2 0 0
2187 830 2 0 0
2190 566 2 0 0
2201 716 4 0 0
2206 566 2 0 0
2207 22 4 0 0
2209 687 3 0 0
2229 557 1 0 0
2231 566 1 0 0
2233 22 4 0 0
2235 1036 0 1 0
2239 1036 0 1 0
2241 937 1 0 0
2242 937 0 0 0
2251 716 3 0 0
2252 22 5 0 0
2255 22 4 0 0
2258 566 3 0 0
2260 1036 0 1 0
2263 22 5 0 0
2264 696 2 0 0
2272 696 2 0 0
2274 937 2 0 0
2278 1036 0 1 0
2279 1036 0 1 0
2280 1036 0 1 0
2281 1036 0 1 0
2283 1036 0 1 0
2285 1036 0 1 0
2288 1036 0 1 0
2291 1036 0 1 0
2292 1036 0 1 0
2297 22 4 0 0
2300 696 1 0 0
2303 1036 0 1 0
2304 1036 0 1 0
2305 1036 0 1 0
2306 1036 0 1 0
2310 851 1 0 0
2311 851 3 0 0
2312 851 3 0 0
2313 1036 0 1 0
2314 851 3 0 0
2317 1036 0 1 0
2322 696 1 0 0
2324 851 3 0 0
2325 1036 0 1 0
2333 1036 0 1 0
2334 1036 0 1 0
2335 1036 0 1 0
2336 22 4 0 0
2337 1036 0 1 0
2339 1036 0 1 0
2342 1036 0 1 0
2343 22 5 0 0
2344 851 4 0 0
2346 1036 0 1 0
2347 1036 0 1 0
2348 22 6 0 0
2350 22 6 0 0
2351 1036 0 1 0
2352 696 2 0 0
2354 22 6 0 0
2355 22 5 0 0
2356 22 6 0 0
2357 22 6 0 0
2360 1036 0 1 0
2365 1036 0 1 0
2367 716 5 0 0
2368 851 2 0 0
2370 1036 0 1 0
2371 22 4 0 0
2374 1036 0 1 0
2375 1036 0 1 0
2376 1036 0 1 0
2377 1036 0 1 0
2388 1036 0 1 0
2391 1036 0 1 0
2392 937 2 0 0
2393 937 1 0 0
2395 22 4 0 0
2396 1036 0 1 0
2401 1036 0 1 0
2403 1036 0 1 0
2405 1036 0 1 0
2406 22 5 0 0
2410 851 1 0 0
2411 1036 0 1 0
2412 1036 0 1 0
2413 1036 0 1 0
2414 1036 0 1 0
2417 566 2 0 0
2418 566 2 0 0
2419 22 6 0 0
2420 1036 0 1 0
2423 716 5 0 0
2424 22 5 0 0
2428 576 3 0 0
2429 576 2 0 0
2430 22 4 0 0
2446 1036 0 1 0
2447 22 5 0 0
2452 598 2 0 0
2454 687 3 0 0
2457 598 2 0 0
2458 22 5 0 0
2460 716 4 0 0
2461 557 2 0 0
2465 937 1 0 0
2466 937 1 0 0
2468 566 2 0 0
2473 851 1 0 0
2475 851 1 0 0
2477 696 2 0 0
2479 830 1 0 0
2480 830 2 0 0
2483 1036 0 1 0
2485 851 2 0 0
2486 716 5 0 0
2490 444 3 0 0
2494 851 1 0 0
2499 851 1 0 0
2502 851 1 0 0
2504 851 1 0 0
2507 696 4 0 0
2508 851 1 0 0
2510 22 4 0 0
2513 22 4 0 0
2514 22 4 0 0
2516 851 1 0 0
2517 22 4 0 0
2525 716 5 0 0
2526 22 4 0 0
2527 716 5 0 0
2530 22 5 0 0
2531 22 4 0 0
2539 851 2 0 0
2542 716 5 0 0
2552 851 1 0 0
2554 22 4 0 0
2556 576 5 0 0
2557 851 1 0 0
2558 576 6 0 0
2562 22 3 0 0
2567 851 2 0 0
2569 696 1 0 0
2577 851 3 0 0
2579 22 4 0 0
2580 576 6 0 0
2581 696 3 0 0
2582 696 3 0 0
2583 22 4 0 0
2584 22 4 0 0
2591 851 2 0 0
2593 851 1 0 0
2600 851 4 0 0
2601 851 0 0 0
2603 616 1 0 0
2604 851 5 0 0
2608 576 5 0 0
2609 576 3 0 0
2614 444 2 0 0
2624 22 3 0 0
2627 22 4 0 0
2628 696 1 0 0
2629 1036 0 1 0
2634 1036 0 1 0
2637 1036 0 1 0
2638 1036 0 1 0
2640 851 5 0 0
2643 851 4 0 0
2644 1036 0 1 0
2653 143 3 0 0
2655 143 3 0 0
2656 1036 0 1 0
2659 1036 0 1 0
2661 143 3 0 0
2663 143 3 0 0
2670 1036 0 1 0
2671 1036 0 1 0
2674 1036 0 1 0
2676 1036 0 1 0
2679 143 2 0 0
2680 22 4 0 0
2692 1036 0 1 0
2698 1036 0 1 0
2703 1036 0 1 0
2705 22 4 0 0
2708 1036 0 1 0
2709 696 1 0 0
2713 22 4 0 0
2714 143 2 0 0
2719 1036 0 1 0
2721 1036 0 1 0
2723 1036 0 1 0
2727 1036 0 1 0
2729 1036 0 1 0
2734 696 2 0 0
2736 22 4 0 0
2737 22 4 0 0
2738 22 3 0 0
2739 1036 0 1 0
2740 22 4 0 0
2741 851 2 0 0
2744 1036 0 1 0
2745 1036 0 1 0
2747 1036 0 1 0
2748 1036 0 1 0
2751 1036 0 1 0
2760 1036 0 1 0
2762 22 4 0 0
2763 22 4 0 0
2764 1036 0 1 0
2766 1036 0 1 0
2769 1036 0 1 0
2771 1036 0 1 0
2773 22 4 0 0
2777 1036 0 1 0
2779 350 2 0 0
2780 350 2 0 0
2782 576 3 0 0
2786 851 4 0 0
2788 851 2 0 0
2791 22 3 0 0
2798 851 3 0 0
2812 696 3 0 0
2815 696 2 0 0
2816 576 4 0 0
2818 851 1 0 0
2821 22 3 0 0
2822 22 3 0 0
2834 696 0 0 0
2840 22 4 0 0
2841 22 3 0 0
2842 22 3 0 0
2843 851 1 0 0
2844 576 3 0 0
2845 696 1 0 0
2846 851 2 0 0
2847 22 3 0 0
2851 616 2 0 0
2855 1036 0 1 0
2863 851 3 0 0
2864 851 3 0 0
2866 851 3 0 0
2867 696 2 0 0
2871 851 2 0 0
2875 830 2 0 0
2877 1036 0 1 0
2879 696 2 0 0
2885 851 2 0 0
2886 851 3 0 0
2890 830 1 0 0
2891 22 4 0 0
2894 22 5 0 0
2899 1036 0 1 0
2900 815 2 0 0
2904 616 3 0 0
2910 576 3 0 0
2912 1036 0 1 0
2916 22 5 0 0
2918 1036 0 1 0
2919 652 3 0 0
2920 696 1 0 0
2923 830 2 0 0
2925 616 2 0 0
2926 851 3 0 0
2932 143 2 0 0
2934 576 2 0 0
2935 1036 0 1 0
2936 815 2 0 0
2938 1036 0 1 0
2940 22 4 0 0
2941 22 5 0 0
2942 1036 0 1 0
2943 22 5 0 0
2945 22 4 0 0
2946 143 3 0 0
2948 22 4 0 0
2949 851 3 0 0
2951 1036 0 1 0
2954 1036 0 1 0
2960 1036 0 1 0
2965 1036 0 1 0
2968 1036 0 1 0
2969 1036 0 1 0
2970 1036 0 1 0
2974 616 1 0 0
